run,loss,max_error,success,epochs_used
1,3.990595303093869e-07,0.0008663999615237117,True,2881
2,1.5702513337600976e-05,0.0009863972663879395,True,1334
3,9.117251465795562e-06,0.0009199770865961909,True,1503
4,7.071553227433469e-07,0.0007190108299255371,True,1468
5,1.4561968555426574e-06,0.0009962916374206543,True,1482
6,1.4197063137544319e-05,0.0009734387276694179,True,2263
7,8.191301503757131e-07,0.0009378492832183838,True,2030
8,4.1606969602980826e-07,0.0009080767631530762,True,2283
9,8.196360431611538e-05,0.0009457170963287354,True,1312
10,9.969405073206872e-05,0.0009897053241729736,True,355
11,2.18446274402595e-07,0.0009248852729797363,True,1773
12,6.018617932568304e-05,0.0009897089330479503,True,287
13,8.037312682063202e-07,0.000950247049331665,True,2639
14,8.65897600306198e-05,0.0009990334510803223,True,301
15,6.07201309321681e-06,0.0009849965572357178,True,2016
16,3.958842717111111e-05,0.0009965300559997559,True,340
17,2.897623744502198e-05,0.0009854267118498683,True,289
18,2.504219764887239e-07,0.0009553730487823486,True,1398
19,5.752725428465055e-06,0.0009838640689849854,True,1842
20,5.6505312386434525e-05,0.0009992122650146484,True,371
21,4.851635821978562e-06,0.0009292066097259521,True,1545
22,1.2535085261333734e-05,0.0009568631649017334,True,2043
23,4.008664836874232e-05,0.0009229964343830943,True,238
24,9.258329924932696e-08,0.0009709298610687256,True,1955
25,6.710056368319783e-06,0.000901920604519546,True,2740
26,5.216096906224266e-05,0.0008937418460845947,True,1520
27,2.0774009499291424e-06,0.0009225010871887207,True,2017
28,1.626570309554154e-07,0.0008577704429626465,True,1422
29,1.8359802197664976e-05,0.0009794831275939941,True,3019
30,4.633821149013784e-08,0.0009758174419403076,True,2016
31,1.0620577768349904e-06,0.0009037757990881801,True,2516
32,6.512644858958083e-07,0.0009713470935821533,True,2162
33,1.5507326679653488e-05,0.0009810643969103694,True,312
34,1.8211741917184554e-05,0.0009984374046325684,True,318
35,4.870198040407558e-07,0.0009470880031585693,True,2134
36,9.99007752398029e-05,0.0006898939609527588,True,402
37,3.1967044833436375e-06,0.0009955763816833496,True,314
38,4.61833025156011e-07,0.0008787810802459717,True,2137
39,5.375076852942584e-06,0.000965505838394165,True,1320
40,5.140535108694166e-07,0.0008960962295532227,True,1858
41,1.128077258272242e-07,0.0009378790855407715,True,1862
42,2.2698236534779426e-07,0.0009155571460723877,True,2268
43,9.965253411792219e-05,0.0007583926199004054,True,404
44,3.072934487136081e-05,0.0009016692638397217,True,1274
45,1.2307302199587866e-07,0.0009512603282928467,True,1633
46,1.4434936019824818e-06,0.0009835268137976527,True,2490
47,6.071548455111042e-07,0.000795513391494751,True,2336
48,9.096378335016198e-07,0.0008394420146942139,True,2735
49,6.711854803143069e-05,0.000861700507812202,True,2117
50,8.588773926021531e-05,0.0009106099605560303,True,258
51,9.763482466951245e-07,0.0009780824184417725,True,2524
52,9.948739898391068e-05,0.0007675588130950928,True,353
53,7.771193963890255e-07,0.0008278489112854004,True,2011
54,5.461979526444338e-06,0.0009094178676605225,True,1580
55,2.347945155634079e-05,0.0009777843952178955,True,2575
56,8.67812957494607e-07,0.0009852349758148193,True,1555
57,2.0597408365574665e-06,0.0009792745113372803,True,2414
58,2.917197434726404e-06,0.000897139310836792,True,2046
59,5.43361693416955e-07,0.0009973645210266113,True,1591
60,1.983738911803812e-06,0.0009560267208144069,True,2094
61,9.913484973367304e-05,0.0009268204448744655,True,416
62,9.970449900720268e-05,0.0008059442043304443,True,2021
63,4.266907126293518e-06,0.0009970794199034572,True,1936
64,4.924031600239687e-07,0.0009853839874267578,True,2574
65,1.2356063052720856e-06,0.0007280836580321193,True,1962
66,2.3700997644482413e-06,0.0008379220962524414,True,1363
67,1.0734199349826667e-05,0.0009563267230987549,True,2354
68,4.070815151635543e-08,0.0009998977184295654,True,1493
69,7.843847527055914e-08,0.0009737610816955566,True,1756
70,9.913402755046263e-05,0.0007608699379488826,True,354
71,8.341967259184457e-07,0.0009732544422149658,True,2310
72,9.79754768195562e-05,0.0009992122650146484,True,359
73,8.299002729472704e-07,0.000949174165725708,True,1354
74,8.738143719710934e-07,0.000993877649307251,True,2498
75,7.514771596106584e-07,0.0007410943508148193,True,2469
76,2.689270786504494e-06,0.0009784698486328125,True,1259
77,2.2807614641351392e-06,0.0009987354278564453,True,250
78,9.960762690752745e-05,0.0006775557994842529,True,593
79,1.716785118333064e-05,0.0007631162879988551,True,2251
80,3.9271608329727314e-06,0.000886082649230957,True,2021
81,4.689399793278426e-05,0.0009844303131103516,True,208
82,1.837663262449496e-06,0.0009579443139955401,True,2105
83,2.3096481527318247e-06,0.0009579956531524658,True,1411
84,9.382270604874066e-07,0.0008877217769622803,True,1797
85,6.119998579379171e-05,0.000997884082607925,True,463
86,2.301762106071692e-05,0.0009939799783751369,True,325
87,5.9874138969462365e-05,0.0009906589984893799,True,3138
88,3.922512448184534e-08,0.0009752213954925537,True,2417
89,4.79434049793781e-07,0.0009122024057433009,True,1843
90,1.2786729257641127e-06,0.0009717941284179688,True,1160
91,9.949212108040228e-05,0.0006959140300750732,True,293
92,9.076903779714485e-07,0.0009345710277557373,True,2188
93,1.2286022865737323e-06,0.0008958578109741211,True,1986
94,5.576441708399216e-06,0.0009430850623175502,True,2035
95,9.888548083836213e-05,0.0009043514728546143,True,388
96,1.3798552345178905e-06,0.0009822547435760498,True,1598
97,3.753092823899351e-05,0.0009617673931643367,True,2237
98,4.542147564734478e-07,0.0009496212005615234,True,2196
99,5.857323048985563e-05,0.0009971800027415156,True,434
100,6.758893960068235e-07,0.0009090602397918701,True,2625
